timestamp,symbol,timeframe,signal,entry,sl,tp,votes_long,votes_short,debug,sent_to_discord
2025-09-15T10:29:39.914858,ADA/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:29:47.191589,XRP/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:29:54.766252,XRP/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:30:02.475277,DOGE/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:30:10.101747,DOGE/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:30:17.708376,AVAX/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:30:25.646352,AVAX/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:30:33.387917,LINK/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:30:41.319124,LINK/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:30:48.889169,TRX/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:30:56.357821,TRX/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:31:03.840513,DOT/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:31:11.314998,DOT/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:31:19.305955,MATIC/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:31:26.988916,MATIC/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:31:34.646530,SHIB/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:31:42.603542,SHIB/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:31:50.042717,BCH/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:31:57.262168,BCH/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:32:04.673603,LTC/USDT,15m,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:32:12.879232,LTC/USDT,1h,,,,,,,,,,False,FLAT,FLAT,
2025-09-15T10:43:43.934588,BTC/USDT,15m,LONG,114767.27,112471.92,118210.29,1,5,"EMA200: SHORT,MACD: SHORT,RSI: SHORT,ADX: strong trend,VWAP: SHORT,Supertrend: LONG,Range: SHORT",8,8 nến 15m,True,FLAT,FLAT,"[CẢNH BÁO] H4: FLAT, D1: FLAT - KHÔNG CÙNG hướng với tín hiệu LONG!"
2025-09-15T10:43:52.323396,BTC/USDT,1h,LONG,114767.27,112471.92,118210.29,2,4,"EMA200: LONG,MACD: SHORT,RSI: SHORT,VWAP: LONG,Supertrend: SHORT,Range: SHORT",8,8 nến 1h,True,FLAT,FLAT,"[CẢNH BÁO] H4: FLAT, D1: FLAT - KHÔNG CÙNG hướng với tín hiệu LONG!"
2025-09-15T10:44:00.626562,ETH/USDT,15m,SHORT,4523.91,4614.39,4388.19,0,6,"EMA200: SHORT,MACD: SHORT,RSI: SHORT,ADX: strong trend,VWAP: SHORT,Supertrend: SHORT,Range: SHORT",8,8 nến 15m,True,FLAT,FLAT,"[CẢNH BÁO] H4: FLAT, D1: FLAT - KHÔNG CÙNG hướng với tín hiệu SHORT!"
2025-09-15T10:44:08.973477,ETH/USDT,1h,LONG,4523.92,4433.44,4659.64,2,4,"EMA200: LONG,MACD: SHORT,RSI: SHORT,ADX: strong trend,VWAP: LONG,Supertrend: SHORT,Range: SHORT",5,5 nến 1h,True,FLAT,FLAT,"[CẢNH BÁO] H4: FLAT, D1: FLAT - KHÔNG CÙNG hướng với tín hiệu LONG!"
