timestamp,symbol,timeframe,score_long,score_short,score_threshold,score_total_weight,active_total_weight,status
2025-09-28T10:42:08.299576,ETH/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:42:08.908811,BNB/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:42:09.440059,SOL/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:42:10.006319,XRP/USDT,15m,8.47,5.41,15.0,18.0,18.0,NONE
2025-09-28T10:42:10.580410,ADA/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:42:11.155276,DOGE/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:42:11.676415,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:42:12.197857,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:42:12.721360,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:42:13.291494,DOT/USDT,15m,8.25,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:42:13.910895,TRX/USDT,15m,6.14,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:42:14.433349,AVAX/USDT,15m,3.39,8.27,15.0,18.0,18.0,NONE
2025-09-28T10:42:14.956737,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:42:15.473394,ARB/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:43:07.801030,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:43:08.475870,ETH/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:43:09.061840,BNB/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:43:09.684480,SOL/USDT,15m,2.86,11.02,15.0,18.0,18.0,NONE
2025-09-28T10:43:10.212297,XRP/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:43:10.786007,ADA/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:43:11.360429,DOGE/USDT,15m,4.98,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:43:11.903205,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:43:12.478734,LINK/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:43:13.003400,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:43:13.536990,DOT/USDT,15m,8.25,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:43:14.112002,TRX/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:43:14.638951,AVAX/USDT,15m,3.39,8.27,15.0,18.0,18.0,NONE
2025-09-28T10:43:15.219437,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:43:15.736317,ARB/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:44:07.866566,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:44:08.449871,ETH/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
