symbol,timeframe,side,stage,entry,exit,pnl,pnl_r,sl,tp,size,opened_at,closed_at
SHIB/USDT,15m,LONG,probe,1.3e-05,1.3e-05,0.0,0.0,1.3e-05,1.3e-05,1141403551.0957,1758355270,1758355270
ADA/USDT,15m,LONG,full,0.9014,0.8995,-58.702665,-0.587,0.902863,0.909619,30896.1395,1758353449,1758357798
SHIB/USDT,15m,LONG,probe,1.3e-05,1.3e-05,0.0,0.0,1.3e-05,1.3e-05,1129316094.3496,1758426788,1758426788
SHIB/USDT,15m,LONG,probe,1.3e-05,1.3e-05,0.0,0.0,1.3e-05,1.3e-05,1179439886.74135,1758429272,1758429272
SHIB/USDT,15m,SHORT,probe,1.3e-05,1.3e-05,0.0,0.0,1.3e-05,1.3e-05,1166251657.67375,1758431737,1758431737
